Size,Method,File,LoadMs,EncryptMs,SumMs,DecryptMs,TotalMs,CPUTimeNs,CPUPercent,HeapBefore,HeapAfter,NumVotes,ThroughputVps,LatencyMsPerVote,CipherSizeBytes,Success,Error
50000,ElGamal,benchmarks_data\50K\50K_22.txt,100.840,1975.536,275.319,0.053,2359.642,18078125000,57.194,1716136,57588056,50000,21189.652,0.047193,8,true,
50000,ElGamal,benchmarks_data\50K\50K_23.txt,118.700,2071.581,314.749,0.060,2511.460,18968750000,57.229,1634368,33284064,50000,19908.739,0.050229,8,true,
50000,ElGamal,benchmarks_data\50K\50K_08.txt,63.916,2409.350,207.024,0.056,2683.485,20375000000,52.854,2368728,4701880,50000,18632.485,0.053670,8,true,
50000,ElGamal,benchmarks_data\50K\50K_11.txt,114.199,2345.771,254.560,0.046,2724.091,20312500000,54.120,1619264,4646256,50000,18354.749,0.054482,8,true,
50000,ElGamal,benchmarks_data\50K\50K_13.txt,126.623,2374.634,232.161,0.056,2741.746,20734375000,54.573,1573752,4035856,50000,18236.556,0.054835,8,true,
50000,ElGamal,benchmarks_data\50K\50K_25.txt,130.892,2421.917,224.318,0.056,2786.263,20859375000,53.830,1676648,4126936,50000,17945.186,0.055725,8,true,
50000,ElGamal,benchmarks_data\50K\50K_02.txt,84.753,2523.153,270.954,0.050,2886.951,21515625000,53.295,2005816,5837848,50000,17319.313,0.057739,8,true,
50000,ElGamal,benchmarks_data\50K\50K_18.txt,89.065,2518.225,278.817,0.041,2894.501,21515625000,53.400,1940512,4866704,50000,17274.132,0.057890,8,true,
50000,ElGamal,benchmarks_data\50K\50K_15.txt,93.364,2593.238,271.277,0.047,2966.703,22125000000,53.324,2796968,5982368,50000,16853.724,0.059334,8,true,
50000,ElGamal,benchmarks_data\50K\50K_06.txt,76.568,2609.772,287.326,0.038,2982.409,22125000000,52.986,2026384,6036920,50000,16764.974,0.059648,8,true,
50000,ElGamal,benchmarks_data\50K\50K_14.txt,69.694,2613.504,323.206,0.041,3015.757,22062500000,52.761,2462704,6040112,50000,16579.587,0.060315,8,true,
50000,ElGamal,benchmarks_data\50K\50K_04.txt,69.202,2709.099,254.386,0.070,3039.409,22593750000,52.125,2324096,6349008,50000,16450.565,0.060788,8,true,
50000,ElGamal,benchmarks_data\50K\50K_10.txt,62.818,1950.685,117.131,0.064,2132.088,14109375000,45.206,61855784,48141456,50000,23451.185,0.042642,8,true,
50000,ElGamal,benchmarks_data\50K\50K_21.txt,102.533,1943.426,133.761,0.090,2180.767,14671875000,47.184,60761296,11837184,50000,22927.713,0.043615,8,true,
50000,ElGamal,benchmarks_data\50K\50K_01.txt,69.854,1852.715,89.643,0.124,2013.317,14500000000,48.915,36694544,1737792,50000,24834.635,0.040266,8,true,
50000,ElGamal,benchmarks_data\50K\50K_05.txt,108.511,1944.145,108.332,0.064,2162.083,15140625000,48.674,55399104,1759264,50000,23125.850,0.043242,7,true,
50000,ElGamal,benchmarks_data\50K\50K_19.txt,53.143,1717.107,130.843,0.045,1904.004,13453125000,48.967,16653840,1734584,50000,26260.453,0.038080,8,true,
50000,ElGamal,benchmarks_data\50K\50K_09.txt,93.587,1530.465,152.097,0.076,1785.080,12765625000,52.131,4685024,1606376,50000,28009.951,0.035702,7,true,
50000,ElGamal,benchmarks_data\50K\50K_07.txt,105.682,1514.134,178.919,0.045,1799.692,12750000000,52.629,4689560,1580816,50000,27782.538,0.035994,8,true,
50000,ElGamal,benchmarks_data\50K\50K_12.txt,90.522,1562.025,187.216,0.897,1841.591,12953125000,51.828,4995376,1554848,50000,27150.441,0.036832,8,true,
50000,ElGamal,benchmarks_data\50K\50K_03.txt,88.835,1410.526,196.893,0.031,1710.179,12093750000,53.587,5989904,1529248,50000,29236.714,0.034204,8,true,
50000,ElGamal,benchmarks_data\50K\50K_17.txt,116.413,1480.271,197.371,0.028,1796.553,12390625000,52.316,5492392,1504184,50000,27831.079,0.035931,8,true,
500,Paillier,benchmarks_data\500\500_01.txt,0.980,133.315,23.082,1.069,159.585,1750000000,82.043,1389432,1392968,500,3133.134,0.319169,256,true,
500,Paillier,benchmarks_data\500\500_02.txt,0.538,116.798,19.563,1.058,138.488,1421875000,76.087,1401816,1406424,500,3610.429,0.276975,256,true,
500,Paillier,benchmarks_data\500\500_03.txt,0.596,111.449,17.041,1.008,130.693,1484375000,83.243,1403840,1406640,500,3825.760,0.261386,256,true,
500,Paillier,benchmarks_data\500\500_04.txt,0.982,106.249,27.984,1.015,137.133,1187500000,69.854,1404072,1406872,500,3646.109,0.274265,256,true,
500,Paillier,benchmarks_data\500\500_05.txt,0.548,109.629,16.893,1.050,128.668,1453125000,82.843,1404288,1407088,500,3885.961,0.257337,256,true,
500,Paillier,benchmarks_data\500\500_06.txt,0.548,116.600,23.402,1.178,142.292,1437500000,77.053,1404520,1407320,500,3513.899,0.284584,256,true,
500,Paillier,benchmarks_data\500\500_07.txt,0.460,110.510,22.630,1.045,135.176,1390625000,78.648,1404816,1407616,500,3698.887,0.270352,256,true,
